,Prolongation,Block,Interjection,FileName,NoStutter,Repetition,KFold1,KFold2,KFold3,KFold4,KFold5
0,0.0,0.0,1.0,FluencyBank_016_23.wav,1.0,0.0,1,1,1,1,0
1,0.0,0.0,0.0,FluencyBank_081_123.wav,0.0,1.0,1,0,1,1,1
2,1.0,0.0,0.0,FluencyBank_179_39.wav,0.0,0.0,1,0,1,1,1
3,0.0,0.0,0.0,FluencyBank_985_133.wav,1.0,0.0,1,1,1,0,1
4,0.0,0.0,0.0,FluencyBank_193_45.wav,0.0,1.0,1,1,0,1,1
5,0.0,1.0,1.0,FluencyBank_173_24.wav,0.0,1.0,0,1,1,1,1
6,1.0,0.0,1.0,HeStutters_6_142.wav,0.0,0.0,1,0,1,1,1
7,0.0,0.0,0.0,FluencyBank_121_103.wav,1.0,0.0,1,1,1,0,1
8,0.0,0.0,1.0,FluencyBank_016_24.wav,1.0,0.0,1,1,1,0,1
9,0.0,0.0,0.0,FluencyBank_118_44.wav,1.0,0.0,1,1,1,0,1
10,0.0,0.0,1.0,FluencyBank_099_146.wav,1.0,0.0,1,1,0,1,1
11,0.0,0.0,0.0,FluencyBank_010_27.wav,1.0,0.0,1,0,1,1,1
12,0.0,0.0,0.0,FluencyBank_031_12.wav,1.0,0.0,0,1,1,1,1
13,0.0,0.0,0.0,FluencyBank_097_8.wav,0.0,1.0,0,1,1,1,1
14,0.0,0.0,1.0,FluencyBank_089_99.wav,0.0,1.0,0,1,1,1,1
15,0.0,0.0,1.0,FluencyBank_017_46.wav,1.0,0.0,1,1,0,1,1
16,1.0,1.0,0.0,WomenWhoStutter_14_38.wav,0.0,0.0,1,1,1,1,0
17,0.0,1.0,0.0,WomenWhoStutter_81_82.wav,0.0,0.0,0,1,1,1,1
18,1.0,0.0,0.0,WomenWhoStutter_39_79.wav,0.0,0.0,1,1,1,0,1
19,1.0,0.0,0.0,FluencyBank_147_7.wav,0.0,0.0,1,0,1,1,1
20,0.0,1.0,0.0,HeStutters_19_96.wav,0.0,0.0,0,1,1,1,1
21,0.0,0.0,0.0,FluencyBank_024_120.wav,1.0,0.0,0,1,1,1,1
22,0.0,1.0,0.0,WomenWhoStutter_62_1.wav,0.0,0.0,1,0,1,1,1
23,0.0,0.0,0.0,FluencyBank_985_97.wav,0.0,1.0,1,1,1,1,0
24,0.0,0.0,0.0,FluencyBank_099_43.wav,1.0,0.0,0,1,1,1,1
25,0.0,0.0,0.0,FluencyBank_173_53.wav,0.0,1.0,1,1,1,0,1
26,0.0,0.0,0.0,FluencyBank_076_23.wav,1.0,0.0,1,1,0,1,1
27,0.0,0.0,0.0,FluencyBank_093_6.wav,1.0,0.0,1,1,0,1,1
28,1.0,0.0,0.0,FluencyBank_132_90.wav,0.0,0.0,0,1,1,1,1
29,0.0,0.0,0.0,FluencyBank_193_38.wav,1.0,0.0,1,1,0,1,1
30,1.0,0.0,1.0,StutterTalk_43_103.wav,0.0,1.0,1,0,1,1,1
31,0.0,0.0,0.0,FluencyBank_093_57.wav,0.0,1.0,0,1,1,1,1
32,0.0,1.0,0.0,FluencyBank_071_45.wav,0.0,1.0,1,1,0,1,1
33,0.0,0.0,0.0,FluencyBank_173_28.wav,1.0,0.0,1,1,1,1,0
34,1.0,0.0,1.0,HeStutters_19_35.wav,0.0,0.0,0,1,1,1,1
35,0.0,0.0,0.0,FluencyBank_063_78.wav,1.0,0.0,1,1,1,0,1
36,0.0,0.0,0.0,FluencyBank_099_152.wav,1.0,0.0,1,1,1,0,1
37,0.0,0.0,0.0,FluencyBank_099_56.wav,0.0,0.0,1,1,0,1,1
38,0.0,0.0,1.0,FluencyBank_111_145.wav,1.0,0.0,0,1,1,1,1
39,0.0,0.0,0.0,FluencyBank_016_45.wav,1.0,0.0,1,1,1,0,1
40,0.0,1.0,0.0,FluencyBank_097_116.wav,0.0,1.0,1,0,1,1,1
41,1.0,0.0,0.0,HeStutters_5_114.wav,0.0,0.0,1,1,0,1,1
42,0.0,1.0,0.0,WomenWhoStutter_101_142.wav,0.0,0.0,1,1,1,0,1
43,0.0,0.0,0.0,FluencyBank_178_5.wav,1.0,0.0,0,1,1,1,1
44,0.0,0.0,0.0,FluencyBank_178_143.wav,1.0,0.0,1,1,0,1,1
45,0.0,1.0,0.0,HeStutters_15_42.wav,0.0,0.0,1,1,0,1,1
46,1.0,0.0,1.0,WomenWhoStutter_72_6.wav,0.0,0.0,1,1,0,1,1
47,0.0,0.0,0.0,FluencyBank_193_55.wav,1.0,0.0,1,1,1,1,0
48,0.0,0.0,0.0,FluencyBank_016_18.wav,1.0,0.0,1,0,1,1,1
49,0.0,0.0,0.0,FluencyBank_111_123.wav,1.0,0.0,1,1,1,0,1
50,0.0,0.0,1.0,FluencyBank_178_18.wav,1.0,0.0,1,1,0,1,1
51,0.0,0.0,0.0,FluencyBank_063_139.wav,0.0,1.0,0,1,1,1,1
52,0.0,0.0,0.0,FluencyBank_985_79.wav,0.0,0.0,1,1,0,1,1
53,0.0,0.0,0.0,FluencyBank_046_105.wav,1.0,0.0,1,1,1,0,1
54,0.0,0.0,0.0,FluencyBank_071_34.wav,0.0,0.0,1,1,1,1,0
55,0.0,1.0,0.0,FluencyBank_017_52.wav,0.0,0.0,1,1,0,1,1
56,0.0,1.0,0.0,MyStutteringLife_33_8.wav,0.0,0.0,1,1,1,0,1
57,1.0,0.0,0.0,HeStutters_11_68.wav,0.0,0.0,1,1,0,1,1
58,0.0,0.0,0.0,FluencyBank_147_19.wav,1.0,0.0,1,0,1,1,1
59,1.0,1.0,0.0,MyStutteringLife_4_20.wav,0.0,0.0,1,1,0,1,1
60,0.0,0.0,0.0,FluencyBank_096_24.wav,1.0,0.0,1,1,1,0,1
61,1.0,0.0,0.0,WomenWhoStutter_85_36.wav,0.0,0.0,0,1,1,1,1
62,0.0,0.0,0.0,FluencyBank_173_61.wav,1.0,0.0,0,1,1,1,1
63,1.0,0.0,0.0,FluencyBank_097_54.wav,0.0,1.0,1,1,1,0,1
64,0.0,0.0,0.0,FluencyBank_985_110.wav,1.0,0.0,1,1,0,1,1
65,0.0,0.0,0.0,FluencyBank_107_37.wav,1.0,0.0,1,1,1,1,0
66,0.0,0.0,0.0,FluencyBank_010_48.wav,1.0,0.0,1,1,1,0,1
67,0.0,1.0,0.0,FluencyBank_111_21.wav,0.0,0.0,1,0,1,1,1
68,0.0,0.0,0.0,FluencyBank_121_77.wav,1.0,0.0,0,1,1,1,1
69,0.0,0.0,0.0,FluencyBank_097_177.wav,0.0,0.0,1,1,1,1,0
70,1.0,0.0,0.0,FluencyBank_193_91.wav,0.0,1.0,1,1,0,1,1
71,0.0,0.0,0.0,FluencyBank_111_17.wav,1.0,0.0,1,1,0,1,1
72,0.0,0.0,0.0,FluencyBank_097_25.wav,0.0,1.0,1,1,0,1,1
73,0.0,1.0,0.0,MyStutteringLife_18_14.wav,0.0,0.0,1,0,1,1,1
74,0.0,0.0,0.0,FluencyBank_219_21.wav,1.0,0.0,1,1,1,0,1
75,0.0,0.0,0.0,FluencyBank_081_136.wav,0.0,1.0,1,1,1,1,0
76,1.0,0.0,0.0,MyStutteringLife_22_8.wav,0.0,0.0,1,0,1,1,1
77,0.0,0.0,0.0,FluencyBank_016_56.wav,1.0,0.0,1,1,1,1,0
78,0.0,0.0,0.0,FluencyBank_985_29.wav,0.0,0.0,1,1,0,1,1
79,0.0,0.0,0.0,FluencyBank_219_31.wav,0.0,0.0,1,1,1,1,0
80,0.0,1.0,0.0,FluencyBank_193_97.wav,0.0,0.0,1,1,0,1,1
81,0.0,0.0,0.0,FluencyBank_109_70.wav,1.0,0.0,1,1,0,1,1
82,1.0,0.0,1.0,FluencyBank_024_40.wav,0.0,0.0,1,0,1,1,1
83,0.0,0.0,0.0,FluencyBank_178_101.wav,1.0,0.0,1,1,1,0,1
84,0.0,1.0,0.0,FluencyBank_098_25.wav,0.0,0.0,1,1,1,1,0
85,0.0,0.0,1.0,FluencyBank_016_80.wav,1.0,0.0,1,0,1,1,1
86,1.0,0.0,1.0,WomenWhoStutter_63_4.wav,0.0,0.0,1,1,0,1,1
87,0.0,0.0,0.0,FluencyBank_081_129.wav,1.0,0.0,1,1,1,1,0
88,1.0,0.0,0.0,WomenWhoStutter_0_144.wav,0.0,0.0,1,1,1,0,1
89,0.0,0.0,0.0,FluencyBank_089_107.wav,0.0,1.0,0,1,1,1,1
90,0.0,0.0,0.0,FluencyBank_097_44.wav,0.0,0.0,1,0,1,1,1
91,0.0,1.0,0.0,FluencyBank_031_14.wav,0.0,0.0,1,1,1,1,0
92,0.0,0.0,1.0,FluencyBank_179_21.wav,1.0,0.0,0,1,1,1,1
93,0.0,0.0,1.0,FluencyBank_046_104.wav,1.0,0.0,1,1,1,1,0
94,0.0,0.0,0.0,FluencyBank_111_126.wav,1.0,0.0,1,0,1,1,1
95,0.0,1.0,0.0,WomenWhoStutter_19_90.wav,0.0,1.0,1,1,0,1,1
96,0.0,0.0,0.0,FluencyBank_109_71.wav,1.0,0.0,1,1,1,1,0
97,0.0,1.0,1.0,FluencyBank_218_52.wav,0.0,0.0,1,1,1,0,1
98,0.0,0.0,0.0,FluencyBank_985_85.wav,0.0,1.0,1,1,1,0,1
99,0.0,0.0,0.0,FluencyBank_046_82.wav,1.0,0.0,1,1,1,0,1
100,1.0,0.0,0.0,FluencyBank_046_70.wav,0.0,0.0,1,0,1,1,1
101,1.0,0.0,0.0,FluencyBank_178_142.wav,0.0,0.0,1,1,1,1,0
102,0.0,0.0,0.0,FluencyBank_193_47.wav,0.0,1.0,1,1,1,1,0
103,0.0,0.0,1.0,FluencyBank_087_50.wav,0.0,1.0,1,1,1,0,1
104,0.0,0.0,0.0,FluencyBank_017_38.wav,0.0,1.0,1,1,1,0,1
105,0.0,0.0,0.0,FluencyBank_010_71.wav,1.0,0.0,1,1,1,1,0
106,0.0,0.0,1.0,FluencyBank_147_49.wav,0.0,1.0,0,1,1,1,1
107,0.0,1.0,0.0,StutterTalk_25_100.wav,0.0,0.0,1,1,1,1,0
108,0.0,0.0,0.0,FluencyBank_107_92.wav,0.0,1.0,1,0,1,1,1
109,1.0,0.0,0.0,HeStutters_11_119.wav,0.0,1.0,1,0,1,1,1
110,1.0,0.0,0.0,FluencyBank_076_35.wav,0.0,0.0,1,1,1,1,0
111,0.0,0.0,0.0,FluencyBank_063_87.wav,1.0,0.0,1,1,1,1,0
112,0.0,0.0,1.0,FluencyBank_087_115.wav,1.0,0.0,1,1,1,0,1
113,0.0,0.0,1.0,FluencyBank_087_85.wav,1.0,0.0,1,1,0,1,1
114,0.0,1.0,0.0,FluencyBank_097_152.wav,0.0,0.0,1,1,0,1,1
115,0.0,0.0,1.0,FluencyBank_121_115.wav,0.0,1.0,1,1,0,1,1
