,SEP28k-E,Prolongation,Block,Interjection,FileName,NoStutter,Repetition
0,train,1.0,0.0,0.0,WomenWhoStutter_50_276.wav,0.0,0.0
1,train,0.0,0.0,0.0,WomenWhoStutter_3_34.wav,1.0,0.0
2,train,1.0,0.0,1.0,WomenWhoStutter_83_8.wav,0.0,0.0
3,train,0.0,1.0,0.0,WomenWhoStutter_19_182.wav,0.0,1.0
4,train,0.0,0.0,0.0,WomenWhoStutter_51_16.wav,0.0,1.0
5,train,0.0,0.0,1.0,WomenWhoStutter_6_113.wav,0.0,0.0
6,train,0.0,0.0,1.0,WomenWhoStutter_10_94.wav,1.0,0.0
7,train,0.0,0.0,1.0,WomenWhoStutter_79_3.wav,1.0,0.0
8,train,0.0,1.0,0.0,WomenWhoStutter_99_114.wav,0.0,0.0
9,train,0.0,0.0,0.0,StutterTalk_43_140.wav,1.0,0.0
10,train,0.0,1.0,0.0,HeStutters_8_119.wav,0.0,1.0
11,train,1.0,0.0,1.0,WomenWhoStutter_34_1.wav,0.0,0.0
12,train,0.0,0.0,0.0,MyStutteringLife_35_202.wav,1.0,0.0
13,train,0.0,0.0,0.0,StutterTalk_45_3.wav,1.0,0.0
14,train,1.0,0.0,0.0,HeStutters_6_127.wav,0.0,0.0
15,train,0.0,0.0,0.0,MyStutteringLife_32_148.wav,1.0,0.0
16,train,0.0,0.0,0.0,WomenWhoStutter_74_35.wav,1.0,0.0
17,train,0.0,0.0,0.0,StutteringIsCool_64_33.wav,1.0,0.0
18,train,0.0,0.0,0.0,WomenWhoStutter_88_99.wav,0.0,1.0
19,train,0.0,0.0,0.0,WomenWhoStutter_60_13.wav,1.0,0.0
20,train,1.0,0.0,0.0,MyStutteringLife_31_27.wav,0.0,0.0
21,train,0.0,0.0,0.0,StutterTalk_61_6.wav,1.0,0.0
22,train,0.0,0.0,0.0,WomenWhoStutter_42_184.wav,0.0,1.0
23,train,0.0,0.0,0.0,StutterTalk_43_18.wav,0.0,0.0
24,train,1.0,0.0,0.0,HeStutters_21_6.wav,0.0,0.0
25,train,0.0,0.0,0.0,StutteringIsCool_13_7.wav,1.0,0.0
26,train,0.0,0.0,0.0,WomenWhoStutter_97_24.wav,0.0,1.0
27,train,0.0,0.0,0.0,WomenWhoStutter_39_173.wav,0.0,1.0
28,train,0.0,1.0,0.0,MyStutteringLife_14_22.wav,0.0,0.0
29,train,0.0,0.0,0.0,StutterTalk_43_184.wav,1.0,0.0
30,train,0.0,0.0,1.0,StutteringIsCool_37_6.wav,0.0,1.0
31,train,0.0,0.0,0.0,StutteringIsCool_61_22.wav,1.0,0.0
32,train,0.0,0.0,0.0,HeStutters_0_3.wav,1.0,0.0
33,train,0.0,0.0,0.0,WomenWhoStutter_87_110.wav,1.0,0.0
34,train,0.0,0.0,0.0,HeStutters_1_162.wav,1.0,0.0
35,train,1.0,0.0,1.0,HeStutters_1_14.wav,0.0,0.0
36,train,0.0,0.0,1.0,WomenWhoStutter_81_104.wav,0.0,1.0
37,train,0.0,0.0,0.0,StutterTalk_29_24.wav,1.0,0.0
38,train,1.0,0.0,1.0,WomenWhoStutter_24_14.wav,0.0,0.0
39,train,0.0,0.0,0.0,StutteringIsCool_34_40.wav,0.0,1.0
40,train,0.0,0.0,0.0,WomenWhoStutter_62_119.wav,0.0,1.0
41,train,0.0,0.0,0.0,MyStutteringLife_7_40.wav,0.0,1.0
42,train,0.0,0.0,0.0,WomenWhoStutter_60_29.wav,0.0,1.0
43,train,0.0,0.0,0.0,HeStutters_15_96.wav,0.0,1.0
44,train,0.0,0.0,0.0,StutteringIsCool_71_16.wav,1.0,0.0
45,train,0.0,0.0,1.0,WomenWhoStutter_21_201.wav,1.0,0.0
46,train,1.0,0.0,1.0,StutteringIsCool_36_0.wav,0.0,0.0
47,train,1.0,0.0,0.0,StutteringIsCool_60_8.wav,0.0,0.0
48,train,0.0,0.0,0.0,WomenWhoStutter_14_112.wav,0.0,0.0
49,train,0.0,0.0,1.0,HeStutters_9_31.wav,1.0,0.0
50,train,0.0,0.0,0.0,WomenWhoStutter_63_25.wav,1.0,0.0
51,train,0.0,1.0,0.0,HeStutters_16_50.wav,0.0,1.0
52,train,0.0,0.0,0.0,StutteringIsCool_51_5.wav,1.0,0.0
53,train,1.0,0.0,1.0,HeStutters_5_164.wav,0.0,0.0
54,train,0.0,0.0,0.0,WomenWhoStutter_39_65.wav,1.0,0.0
55,train,0.0,0.0,0.0,HeStutters_20_237.wav,0.0,1.0
56,train,0.0,1.0,0.0,WomenWhoStutter_39_200.wav,0.0,0.0
57,train,0.0,0.0,0.0,StutteringIsCool_72_32.wav,1.0,0.0
58,train,0.0,0.0,0.0,WomenWhoStutter_35_14.wav,1.0,0.0
59,train,0.0,0.0,1.0,WomenWhoStutter_42_158.wav,1.0,0.0
60,train,0.0,1.0,0.0,StutteringIsCool_26_35.wav,0.0,0.0
61,train,0.0,0.0,1.0,HeStutters_22_140.wav,0.0,1.0
62,train,0.0,0.0,0.0,WomenWhoStutter_10_37.wav,0.0,1.0
63,train,0.0,1.0,0.0,WomenWhoStutter_99_149.wav,0.0,0.0
64,train,0.0,1.0,0.0,WomenWhoStutter_75_29.wav,0.0,0.0
65,train,0.0,0.0,0.0,MyStutteringLife_1_27.wav,1.0,0.0
66,train,0.0,0.0,1.0,StutterTalk_4_38.wav,1.0,0.0
67,train,0.0,0.0,0.0,HeStutters_16_171.wav,1.0,0.0
68,train,0.0,1.0,0.0,MyStutteringLife_28_6.wav,0.0,0.0
69,train,0.0,0.0,0.0,MyStutteringLife_2_37.wav,1.0,0.0
70,train,0.0,0.0,1.0,WomenWhoStutter_97_124.wav,0.0,1.0
71,train,0.0,1.0,0.0,StutterTalk_25_184.wav,0.0,0.0
72,train,0.0,0.0,1.0,WomenWhoStutter_62_55.wav,1.0,0.0
73,train,0.0,0.0,0.0,WomenWhoStutter_104_3.wav,1.0,0.0
74,train,0.0,0.0,0.0,StutteringIsCool_26_33.wav,1.0,0.0
75,train,0.0,0.0,0.0,StutteringIsCool_57_7.wav,1.0,0.0
76,train,0.0,0.0,0.0,StutteringIsCool_21_15.wav,1.0,0.0
77,train,0.0,0.0,0.0,WomenWhoStutter_71_23.wav,0.0,1.0
78,train,0.0,0.0,0.0,StutteringIsCool_20_3.wav,1.0,0.0
79,train,0.0,0.0,0.0,StutterTalk_6_103.wav,0.0,1.0
80,train,0.0,0.0,0.0,WomenWhoStutter_5_2.wav,0.0,1.0
81,train,0.0,0.0,0.0,WomenWhoStutter_18_30.wav,1.0,0.0
82,train,0.0,1.0,0.0,StutteringIsCool_49_24.wav,0.0,0.0
83,train,0.0,0.0,0.0,StutteringIsCool_25_4.wav,1.0,0.0
84,train,0.0,0.0,0.0,HeStutters_21_129.wav,0.0,1.0
85,train,0.0,0.0,0.0,StutteringIsCool_19_17.wav,1.0,0.0
